,FIPS,Date,Confirmed,Deaths,New Cases,New Deaths,"Cases, 7DMA","Deaths, 7DMA","New Cases Per 100k, 7DMA",Deaths Per 100k
1488,29011,2020-09-08,117,0,1,0,2,0,17,0
1489,29013,2020-09-08,80,1,2,0,0,0,0,6
1490,29015,2020-09-08,163,1,1,0,1,0,5,5
1491,29017,2020-09-08,163,1,1,0,5,0,41,8
1492,29019,2020-09-08,3568,6,44,0,122,0,68,3
1493,29021,2020-09-08,1436,12,15,0,19,0,22,14
1494,29023,2020-09-08,430,4,5,0,7,0,16,9
1495,29025,2020-09-08,50,1,1,0,1,0,11,11
1496,29027,2020-09-08,439,2,7,0,14,0,31,4
1497,29029,2020-09-08,614,9,8,0,11,0,24,19
1498,29031,2020-09-08,1097,8,17,0,17,0,22,10
1499,29033,2020-09-08,119,1,1,0,1,0,12,12
1500,29035,2020-09-08,42,1,0,0,1,0,17,17
1501,29037,2020-09-08,1159,16,8,0,11,1,10,15
1502,29039,2020-09-08,62,0,0,0,2,0,14,0
1503,29041,2020-09-08,36,0,0,0,1,0,13,0
1504,29043,2020-09-08,846,2,17,0,22,0,25,2
1505,29045,2020-09-08,50,0,0,0,1,0,15,0
1506,29047,2020-09-08,1512,39,6,0,16,1,6,16
1507,29049,2020-09-08,162,0,1,0,5,0,25,0
1508,29051,2020-09-08,1032,7,16,0,24,0,31,9
1509,29053,2020-09-08,305,2,16,0,9,0,51,11
1510,29055,2020-09-08,218,2,-2,0,4,0,17,8
1511,29057,2020-09-08,36,0,0,0,1,0,13,0
1512,29059,2020-09-08,124,1,1,0,2,0,12,6
1513,29061,2020-09-08,49,0,2,0,3,0,36,0
1514,29063,2020-09-08,81,1,1,0,2,0,16,8
1515,29065,2020-09-08,56,0,1,0,2,0,13,0
1516,29067,2020-09-08,120,3,1,0,1,0,8,23
1517,29069,2020-09-08,579,6,13,0,9,0,31,21
1518,29071,2020-09-08,1178,22,8,0,20,0,19,21
1519,29073,2020-09-08,101,4,4,0,1,0,7,27
1520,29075,2020-09-08,102,9,0,0,1,0,15,137
1521,29077,2020-09-08,4067,19,68,0,117,1,40,6
1522,29079,2020-09-08,93,1,2,0,6,0,61,10
1523,29081,2020-09-08,86,1,0,0,2,0,24,12
1524,29083,2020-09-08,132,4,2,0,2,0,9,18
1525,29085,2020-09-08,68,1,2,0,1,0,10,10
1526,29087,2020-09-08,70,0,0,0,1,0,23,0
1527,29089,2020-09-08,129,2,-10,0,1,0,10,20
1528,29091,2020-09-08,337,3,4,0,9,0,22,7
1529,29093,2020-09-08,42,0,0,0,-1,0,-10,0
1530,29095,2020-09-08,6083,84,45,1,68,1,10,12
1531,29097,2020-09-08,2702,37,17,0,47,0,39,30
1532,29099,2020-09-08,3146,46,37,0,54,1,24,20
1533,29101,2020-09-08,733,4,16,0,19,0,35,7
1534,29103,2020-09-08,44,0,1,0,1,0,25,0
1535,29105,2020-09-08,336,1,7,0,5,0,14,3
1536,29107,2020-09-08,274,2,0,0,4,0,12,6
1537,29109,2020-09-08,399,2,6,0,6,0,16,5
1538,29111,2020-09-08,65,2,0,0,1,0,10,20
1539,29113,2020-09-08,626,1,1,0,7,0,12,2
1540,29115,2020-09-08,49,1,1,0,0,0,0,8
1541,29117,2020-09-08,339,1,1,0,38,0,250,7
